id,city,TenGram22K,TenGram24K
484,Siwan,65600,70420
485,Sonari,65720,70310
486,Thoothukudi,65680,70280
487,Visakhapatnam,65640,70370
488,Waidhan,65920,70380
489,Williamnagar,65670,70300
490,Yavatmal,65670,70310
491,Namakkal,65680,70280
492,Nayagarh,65580,70330
493,Nandurbar,65700,70310
494,Oros,65660,70340
495,Palanpur,65510,70330
496,Phek,65630,70340
497,Porompat,65860,70280
498,Pudukkottai,65700,70240
499,Reasi,65630,70300
500,Senapati,65860,70250
501,Seppa,65570,70310
502,Shimoga,65570,70280
503,Sitamarhi,65580,70380
504,Tawang-town,65560,70310
505,Tezu,65560,70300
506,Varanasi,65560,70260
507,New-tehri,65640,70370
508,Patiala,65540,70350
509,Pauri,65650,70410
510,Purulia,65560,70350
511,Rajsamand,65480,70420
512,Ratlam,65940,70380
513,Rayagada,65570,70350
514,Sawai-madhopur,65480,70410
515,Tiruchirappalli,65700,70260
516,Tiruvallur,65700,70290
517,Ziro,65590,70310
518,Panchkula,65500,70400
519,Nashik,65660,70340
520,Nawanshahr,65510,70370
521,Namsai,65580,70330
522,Painavu,65620,70350
523,Panipat,65500,70370
524,Pathanamthitta,65650,70360
525,Pilibhit,65590,70260
526,Purnia,65590,70410
527,Rudraprayag,65640,70420
528,Srikakulam,65620,70410
529,Surendranagar,65510,70280
530,Suri,65560,70350
531,Tenkasi,65690,70270
532,Tinsukia,65710,70280
533,Uttarkashi,65640,70370
534,Vidisha,65910,70340
535,Vizianagaram,65640,70370
536,North-lakhimpur,65730,70260
537,Osmanabad,65670,70340
538,Pangin,65590,70300
539,Paralakhemundi,65580,70320
540,Pithoragarh,65610,70370
541,Samba,65630,70280
542,Seoni,65920,70370
543,Shamli,65590,70300
544,Sitapur,65560,70270
545,Tikamgarh,65920,70360
546,Udaipur,65500,70370
547,Viluppuram,65690,70280
548,Ooty,65670,70280
549,Panna,65930,70390
550,Pherzawl,65900,70280
551,Rajnandgaon,65850,70310
552,Rupnagar,65520,70350
553,Sibsagar,65750,70290
554,Solapur,65680,70330
555,Supaul,65590,70400
556,Tato,65580,70350
557,Tirupattur,65690,70280
558,Tiruvarur,65700,70260
559,Tura,65660,70340
560,Vijayapura,65580,70250
561,Virudhunagar,65680,70240
562,Parbhani,65670,70330
563,Patan,65530,70330
564,Sambhal,65570,70310
565,Sheikhpura,65600,70420
566,Sivaganga,65660,70280
567,Tamluk,65570,70360
568,Tarn-taran-sahib,65520,70330
569,Tengnoupal,65900,70290
570,Tirunelveli,65680,70260
571,Una,65790,70340
572,Nuh,65480,70360
573,Peren,65620,70320
574,Pulwama,65630,70300
575,Raigarh,65830,70310
576,Rajgarh,65930,70370
577,Ratnagiri,65700,70360
578,Reckong-peo,65790,70380
579,Robertsganj,65560,70260
580,Shajapur,65950,70360
581,Sonipat,65490,70350
582,Sundargarh,65580,70340
583,Thiruvananthapuram,65600,70380
584,Udalguri,65710,70310
585,Udupi,65570,70270
586,Vellore,65680,70280
587,Yanam,65660,70280
588,Zunheboto,65630,70370
589,Narayanpur,65840,70280
590,Nongpoh,65670,70310
591,Nalbari,65730,70270
592,Palakkad,65610,70370
593,Pali,65490,70410
594,Raebareli,65580,70290
595,Raisen,65920,70360
596,Sehore,65910,70370
597,Sheopur,65910,70350
598,Theni,65670,70250
599,Tiruvannaamalai,65660,70270
600,Udhampur,65650,70310
601,Umaria,65940,70370
602,Veraval,65540,70320
603,Yadgir,65560,70240
604,Nanded,65690,70310
605,Noklak,65620,70340
606,Ranipet,65700,70290
607,Saharanpur,65600,70290
608,Saiha,65740,70350
609,Sasaram,65560,70420
610,Satna,65910,70350
611,Simdega,65810,70440
612,Surajpur,65810,70270
613,Thane,65680,70360
614,Tuensang,65620,70340
615,Washim,65680,70330
616,Wokha,65610,70330
617,Namchi,65420,70380
618,Nuapada,65600,70360
619,Panikoili,65580,70350
620,Poonch,65630,70320
621,Porbandar,65530,70330
622,Ramanathapuram,65690,70250
623,Rohtak,65490,70400
624,Seraikela,65850,70430
625,Shahjahanpur,65570,70280
626,Sirsa,65500,70360
627,Surat,65530,70290
628,Thoubal,65860,70300
629,Thrissur,65630,70370
630,Tirupur,65690,70250
631,Ukhrul,65860,70250
632,Unnao,65600,70260
633,Valsad,65550,70300
634,Wardha,65680,70330
635,Yamuna-nagar,65490,70380
636,Narsinghpur,65940,70380
637,Naugarh,65560,70260
638,Noida,65580,70300
639,Palghar,65690,70340
640,Pathankot,65520,70370
641,Phulbani,65600,70330
642,Rajouri,65640,70280
643,Rampur,65600,70260
644,Rewa,65930,70370
645,Rewari,65470,70400
646,Rudrapur,65610,70370
647,Serchhip,65750,70310
648,Shupiyan,65610,70330
649,Sidhi,65940,70360
650,Sri-muktsar-sahib,65540,70350
651,Thanjavur,65680,70240
652,Tonk,65480,70420
653,Ongole,65610,70390
654,Palwal,65490,70350
655,Pasighat,65580,70300
656,Puri,65600,70320
657,Raichur,65570,70280
658,Raipur,65800,70280
659,Saharsa,65590,70410
660,Samastipur,65570,70400
661,Shivpuri,65910,70360
662,Tezpur,65730,70290
663,Vyara,65530,70290
664,Nellore,65610,70390
665,Padrauna,65600,70270
666,Pakur,65840,70400
667,Pune,65680,70310
668,Ramanagara,65580,70280
669,Ramban,65630,70330
670,Ranchi,65800,70430
671,Resubelpara,65680,70340
672,Sagar,65950,70340
673,Shimla,65750,70350
674,Shravasti,65580,70270
675,Sirohi,65490,70380
676,Subarnapur,65600,70360
677,Sukma,65820,70290
678,Vadodara,65540,70320
